ConnectionName   PktNumber   OutgoingTime     ReceivingTime   difference 
 
Connection_One   1    1692718305399854094     1692718305452853221   52999168
Connection_Two   1    1692718305452547505     1692718305557793607   105245952
Connection_Two   2    1692718305503906143     1692718305558082239   54176256
Connection_Two   3    1692718305609053539     1692718305665386642   56333312
Connection_Two   4    1692718305665091259     1692718305665546142   454912
Connection_Two   5    1692718305769033994     1692718305769230980   197120
Connection_One   2    1692718305557558005     1692718305873295706   315737600
Connection_One   3    1692718305718343439     1692718305873478960   155135488
Connection_One   4    1692718305873121358     1692718305974881512   101760256
Connection_One   5    1692718305974656084     1692718305975066841   410880
Connection_One   6    1692718306031018352     1692718306082600625   51582464
Connection_Thr   1    1692718306133483736     1692718306133580494   96768
Connection_Thr   2    1692718306185115528     1692718306185330212   214528
Connection_Two   6    1692718305821345263     1692718306185499488   364154112
Connection_Thr   3    1692718306237310628     1692718306237657550   346880
Connection_Two   7    1692718305923699949     1692718306237986916   314286848
Connection_Two   8    1692718306082308859     1692718306238156057   155847168
Connection_Thr   4    1692718306288607415     1692718306289055488   448000
Connection_Thr   5    1692718306339989505     1692718306340139678   150272
Connection_Two   9    1692718306134095237     1692718306340435902   206340608
Connection_Thr   6    1692718306391685662     1692718306391832759   147200
Connection_Two   10    1692718306237337851     1692718306392271881   154934016
Connection_Thr   7    1692718306442531783     1692718306442751725   219904
Connection_Two   11    1692718306288381575     1692718306442790386   154408704
Connection_Thr   8    1692718306494570637     1692718306494831845   261120
Connection_Two   12    1692718306442681360     1692718306494860794   52179456
Connection_Two   13    1692718306494951809     1692718306548386346   53434368
Connection_Two   14    1692718306547920692     1692718306549126003   1205248
Connection_Thr   9    1692718306548407150     1692718306549018905   611840
Connection_Thr   10    1692718306600982144     1692718306601155228   173312
Connection_Two   15    1692718306651265344     1692718306651711510   446208
Connection_Thr   11    1692718306651875687     1692718306652295353   419840
Connection_Thr   12    1692718306703204781     1692718306703516319   311552
Connection_One   7    1692718306185663667     1692718306754522802   568859136
Connection_One   8    1692718306341269238     1692718306754789588   413520384
Connection_Thr   13    1692718306754830892     1692718306755007695   176896
Connection_Thr   14    1692718306806199416     1692718306806317100   117760
Connection_One   9    1692718306392236609     1692718306857222161   464985600
Connection_One   10    1692718306600453923     1692718306857547178   257093376
Connection_Thr   15    1692718306857405809     1692718306857825107   419328
Connection_Thr   16    1692718306909233558     1692718306909433581   199936
Connection_One   11    1692718306908639301     1692718306960568004   51928832
Connection_Thr   17    1692718306960291004     1692718306961451536   1160448
Connection_Thr   18    1692718307011948740     1692718307012211503   262656
Connection_Two   16    1692718306702359556     1692718307062635999   360276480
Connection_Two   17    1692718306754381635     1692718307063269230   308887552
